,Average
Game Order,9.0
Passing Yards,191.4
Passings TD,1.2
Rushing Yards,136.6
Rushing TD,0.6
Turnovers,1.4666666666666666
Opponent Passing Yards,218.4
Opponent Rushing Yards,99.0
Game Number,9.0
Week,9.6
Passing Completions,18.4
Passing Attempts,30.933333333333334
Passing Incompletions,12.533333333333333
Passing Completion Percentage,59.18
Passing TD,1.2
Interceptions,0.6666666666666666
TD Percentage per Pass,3.7733333333333334
Interception Percentage per Pass,2.046666666666667
Passer Rating,84.15333333333334
Times Sacked,3.4
Sack Yards,22.333333333333332
Sack Percentage,9.828666666666667
Yards per Attempt,6.146666666666666
Net Yards per Attempt,5.5953333333333335
Adjusted Yards per Attempt,5.983333333333334
Adjusted Net Yards per Attempt,5.474000000000001
Yards per Completion,10.493333333333332
Opponent Rushing Attempts,25.266666666666666
Opponent Rushing Yards per Attempt,3.8133333333333335
Opponent Rushing TD,0.4
Opponent Pass Completions,20.066666666666666
Opponent Pass Attempts,34.266666666666666
Opponent Completion Percentage,59.34666666666667
Opponent Passing TD,1.8666666666666667
Opponent Times Sacked,2.2
Opponent Sack Yards,11.6
Opponent Interceptions,1.3333333333333333
Opponent Passer Rating,82.20000000000002
Rushing Attempts,29.333333333333332
Total Yardage,328.0
Offense Number of Plays,63.666666666666664
Yards per Offensive Play,5.117333333333333
Defense Number of Plays,61.733333333333334
Yards Allowed per Defensive Play,5.11
Turnovers Lost,1.4666666666666666
Opponent Turnovers,1.6666666666666667
Penalties,7.0
Penalty Yards,57.266666666666666
Opponent Penalties,7.466666666666667
Opponent Penalty Yards,55.8
Field Goals Made,1.6666666666666667
Opponent Field Goals Made,1.2666666666666666
3rd Down %,39.11333333333334
Oppoenent 3rd Down %,42.74666666666666
1st Downs,18.933333333333334
1st Downs by Rush,6.533333333333333
1st Downs by Pass,10.266666666666667
1st Downs by Pen,2.1333333333333333
3rd Down Attempts,13.4
3rd Down Conversions,5.266666666666667
3rd Down Conversion %,39.11333333333334
4th Down Attempts,1.2
4th Down Conversions,0.6666666666666666
4th Down Conversion %,59.09090909090909
Opponent Total Yards,317.4
Opponent Turnovers.1,1.6666666666666667
Penalties.1,7.0
Penalty Yards.1,57.266666666666666
Opponent Penalties.1,7.466666666666667
Opponent Penalty Yards.1,55.8
Combined Penalties,14.466666666666667
Combined Penalty Yards,113.06666666666666
Opponent TD,2.533333333333333
Opponent XPA,2.533333333333333
Opponent XPM,2.533333333333333
Opponent Field Goals Attempted,1.2666666666666666
Opponent Field Goals Made.1,1.2666666666666666
Opponent Safeties,0.0
Total Yards,328.0
Offensive Plays,63.666666666666664
Yards per Play,5.117333333333333
Defensive Plays,61.733333333333334
Defensive Yards per Play,5.11
Turnovers.1,1.4666666666666666
Opponent 1st Downs,18.8
Opponent 1st Downs by Rush,5.0
Opponent 1st Downs by Pass,11.6
Opponent 1st Downs by Penalty,2.2
Opponent 3rd Down Attempts,12.933333333333334
Opponent 3rd Down Conversions,5.533333333333333
Opponent 3rd Down Conversion %,42.74666666666666
Opponent 4th Down Attempts,0.8666666666666667
Opponent 4th Down Conversions,0.4
Opponent 4th Down Conversion %,42.857142857142854
Total TD,1.9333333333333333
XPA,1.9333333333333333
XPM,1.9333333333333333
Field Goals Attempted,2.0
Field Goals Made.1,1.6666666666666667
2PA,0.0
2PM,0.0
Safeties,0.0
